,Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthArea,SanitBoro,SanitDistrict,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,LtdHeight,AllZoning1,AllZoning2,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,BuiltCode,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,Version
0,MN,1,10,101,5,1018,2,1,10004,E007,1,8100,1,1,,1 GOVERNORS ISLAND,R3-2,,,,,,GI,,,R3-2/GI,,N,Y4,8,0,P,GOVERNORS ISLAND CORP,7736692,2725731,2725731,0,0,0,0,0,0,2725731,2,158,0,0,0,0,0,0,0,,0,N,5,5,104445450,156510900,104445450,156510900,1900,E,0,0,Governors Island Historic District,THE GOVERNOR'S ISLAND,0.35,0.6,0,1,1,1000010010,0,5,979071,190225,16a,Y,199 999,10101,,0,,1,16v1
1,MN,1,101,101,1,1001,2,1,10004,E007,1,8200,1,1,,1 LIBERTY ISLAND,R3-2,,,,,,,,,R3-2,,N,P7,8,0,X,U S GOVT LAND & BLDGS,541886,541886,541886,0,0,0,0,0,0,541886,2,10,0,0,0,500,1046,0,0,,0,Y,5,5,4225950,12197250,4225950,12197250,1900,E,0,0,,STATUE OF LIBERTY NATIONAL MONUMENT,1,0.6,0,1,1,1000010101,0,1,971677,190636,16a,Y,199 999,10101,,0,,1,16v1
2,MN,1,201,101,1,1000,2,1,10004,E007,1,8200,1,1,,1 ELLIS ISLAND,R3-2,,,,,,,,,R3-2,,N,Z9,,0,X,U S GOVT LAND & BLDGS,2764190,603130,603130,0,0,0,0,0,0,603130,2,7,0,0,0,0,0,0,0,,0,N,5,5,14972400,108450450,14972400,108450450,1900,E,0,0,Ellis Island Historic District,,0.22,0.6,0,1,1,1000010201,0,1,972790,193648,12b,,199 999,10101,,0,,1,16v1
3,MN,1,301,101,,,2,1,10004,E007,1,,1,1,,        JOE DIMAGGIO HIGHWAY,ZNA,,,,,,,,,ZNA,,N,U0,7,0,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,0,N,0,5,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000010301,0,0,,,12b,,199 999,10101,,0,,4,16v1
4,MN,1,401,101,,,2,1,10004,E007,1,,1,1,,        JOE DIMAGGIO HIGHWAY,ZNA,,,,,,,,,ZNA,,N,U0,7,0,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,,0,N,0,5,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000010401,0,0,,,12b,,1 99 999,10101,,0,,4,16v1
5,MN,2,1,101,9,1025,2,1,10004,L015,1,7700,1,1,,        MARGINAL STREET,M1-4,,,,,,LM,,,M1-4/LM,,N,Y7,7,0,C,NYC DSBS,209215,280000,280000,0,0,0,0,0,0,280000,2,2,5,0,0,709.42,564.42,268,210,E,0,Y,5,5,18818100,32193900,18818100,32193900,1900,E,2006,0,,BATTERY MARITIME BUILDING,1.34,0,2,6.5,1,1000020001,0,9,980670,194440,12b,,101N100,10101,,1000020001,8/7/12,1,16v1
6,MN,2,2,101,9,1025,2,1,10004,L015,1,7700,1,1,,10 SOUTH STREET,C4-6,,,,,,LM,,,C4-6/LM,,N,Y7,7,0,C,"10 SSA LANDLORD, LLC",191502,158197,158197,0,0,0,0,0,0,158197,2,1,5,0,0,311,555,205,270,,0,N,2,5,18787500,25390080,18787500,25016400,1900,,2014,0,,,0.83,10,3.4,10,1,1000020002,0,9,981037,194506,12b,,11N 100,10101,,1000020001,8/7/12,1,16v1
7,MN,2,3,101,9,,2,1,10004,L015,1,7700,1,1,,        MARGINAL STREET,C4-6,,,,,,LM,,,C4-6/LM,,N,Y7,7,0,C,NYC DSBS,38800,7500,7500,0,0,0,0,0,0,7500,2,0,1,0,0,91.9,564.56,50,75,,0,N,2,5,735750,822150,0,0,1900,,0,0,,,0.19,10,3.4,10,1,1000020003,0,9,,,12b,,101N100,10101,,1000020001,8/7/12,1,16v1
8,MN,2,23,101,9,1025,2,1,10004,L015,1,7700,1,1,,1 PIER 6,C4-6,,,,,,LM,,,C4-6/LM,,N,T2,7,0,C,NYC DSBS,510025,24346,24346,0,0,0,0,0,0,24346,2,1,2,0,0,793.67,551,85,551,,0,Y,5,5,15255450,17134650,15255450,17134650,1987,,0,0,,,0.05,10,3.4,10,1,1000020023,0,9,981687,194732,12b,,101N100,10101,,0,,1,16v1
9,MN,3,1,101,319,1000,2,1,10004,L015,1,9000,1,1,,10 BATTERY PARK,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,945425,945425,945425,0,0,0,0,0,0,945425,2,6,1,0,4,323,1260,89,57,,1,Y,1,0,127100700,129665250,127100700,129665250,1951,,0,0,,CASTLE CLINTON,1,0,0,0,1,1000030001,0,319,979916,195328,12b,,101S087,10101,,0,,1,16v1
10,MN,3,2,101,9,1020,2,1,10004,L015,1,7700,1,1,,        PETER MINUIT PLAZA,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,39900,0,0,0,0,0,0,0,0,0,7,0,0,0,0,496,76,0,0,,0,Y,1,5,4913100,4913100,4913100,4913100,0,,0,0,,,0,0,0,0,1,1000030002,0,9,,,12b,,101S086,10101,,0,,1,16v1
11,MN,3,3,101,9,1020,2,1,10004,L015,1,7700,1,1,,        PETER MINUIT PLAZA,PARK,,,,,,,,,PARK,,N,Q1,9,0,C,PARKS AND RECREATION,33600,0,0,0,0,0,0,0,0,0,7,1,0,0,1,180,370,0,0,,1,Y,1,0,4396050,4396050,4396050,4396050,0,,0,0,,,0,0,0,0,1,1000030003,0,9,980605,195017,12b,,101S087,10101,,1000030003,8/5/09,1,16v1
12,MN,3,4,101,,,,,,,,,,,,,PARK,,,,,,,,,PARK,,,Q0,9,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,0,,,0,0,0,0,1,1000030004,0,0,,,12b,,11S 087,1,,,,3,16v1
13,MN,3,10,101,319,1003,2,1,10004,L015,1,9000,1,1,,1 SOUTH STREET,M1-4,,,,,,LM,,,M1-4/LM,,N,Z9,,0,X,UNITED STATES AMERICA,123800,123800,123800,0,0,0,0,0,0,123800,2,2,3,0,1,362,177.33,37,227,,1,Y,2,0,11070000,15070950,11070000,15070950,1960,,0,0,,,1,0,2,6.5,1,1000030010,0,319,980245,194640,12b,,101S087,10101,,0,,1,16v1
14,MN,4,7501,101,9,1019,2,1,10004,L015,1,7700,,1,,1 WATER STREET,C5-5,,,,,,LM,,,C5-5/LM,,N,RC,5,0,,ONE NY PLAZA CO LLC,111382,1888126,1888126,0,1848626,39500,0,0,0,0,2,1,50,0,52,341.99,290.52,0,0,,0,Y,0,5,47407499,187654493,0,0,1969,,0,0,,,16.95,10,15,15,1,1000047501,835,9,980917,195090,12b,,101S001,10101,,1000040001,12/3/93,1,16v1
