,BBL,XCoord,YCoord,norm_site_eui,norm_source_eui,energy_star,LotArea,BldgArea,NumBldgs,NumFloors,YearBuilt,BuiltFAR,total_ghg
52,1012670041,990676.0,216082.0,81.3,197.0,72.0,13625,336010,1,36.0,1977,24.66,2490.4
53,1012580021,989295.0,214090.0,237.0,279.7,42.0,34300,792705,1,30.0,1926,23.11,12469.4
54,1012850036,991257.0,215091.0,66.3,152.3,85.0,34050,645483,1,25.0,1954,18.96,3988.5
55,1012970023,991073.0,213119.0,70.1,170.0,85.0,37525,1035307,1,68.0,1930,27.59,7233.2
56,1012970033,991282.0,213017.0,76.9,198.0,75.0,34771,666376,1,32.0,1952,19.16,4622.3
57,1012809010,,,131.0,295.1,53.0,150701,2768775,1,58.0,1963,18.37,29741.8
58,1010087503,989861.0,217711.0,53.8,169.0,86.0,24237,701184,1,70.0,1987,28.93,1671.8
59,4000790030,999749.0,211455.0,71.0,220.6,66.0,82161,1359110,2,49.0,1987,16.54,8644.5
60,1013060001,991889.0,215348.0,152.3,316.2,39.0,81337,1712218,1,44.0,1969,21.05,20898.6
61,1014430020,995802.0,218247.0,127.7,317.1,10.0,9262,62200,2,6.0,2000,6.72,602.4
62,1012820034,990899.0,214404.0,69.8,160.8,79.0,49939,444628,1,20.0,1924,8.9,2911.0
63,1000370008,982488.0,196094.0,28.5,44.6,100.0,17017,260017,1,27.0,1965,15.28,671.3
64,1012840021,990883.0,214950.0,54.6,161.0,89.0,11675,228064,1,24.0,1955,19.53,1074.9
65,1008550037,988055.0,209747.0,118.2,235.5,55.0,22218,524937,1,43.0,1971,23.63,4714.1
66,1012950023,990766.0,212581.0,59.4,157.1,88.0,14044,225000,1,22.0,1958,16.02,1239.1
67,1000390012,982364.0,196545.0,118.8,252.9,57.0,48946,1075808,1,39.0,1961,21.98,9435.6
68,1013090023,992628.0,215766.0,112.0,228.1,61.0,25125,426775,1,32.0,1964,16.99,3611.1
69,1013050013,991830.0,215022.0,63.9,177.6,82.0,17350,345743,1,22.0,1980,19.93,1733.9
70,1000250001,981187.0,196228.0,104.6,243.8,65.0,23132,406025,1,31.0,1968,17.55,3319.8
71,1000100023,980713.0,195693.0,103.9,219.9,67.0,18729,321994,1,21.0,1962,17.19,2606.4
72,1013250001,992627.0,214935.0,104.2,221.1,68.0,21100,321452,1,21.0,1964,15.23,2698.7
73,1000090029,980443.0,195525.0,133.5,277.8,46.0,39985,896956,1,35.0,1971,22.43,8637.6
74,1012870028,991426.0,215610.0,108.4,309.0,82.0,21843,360000,1,24.0,1986,16.48,3264.6
75,1007860001,986489.0,213838.0,71.9,174.6,80.0,39780,754487,2,24.0,1926,18.97,4711.5
76,1000477501,981333.0,197300.0,63.4,167.8,88.0,49614,1736513,1,41.0,1915,35.0,9874.1
77,1012780069,989875.0,214138.0,82.9,228.0,76.0,14525,271266,1,19.0,1958,18.68,1682.7
78,1012930014,991849.0,217143.0,107.2,288.0,44.0,6221,99381,1,24.0,1998,15.98,871.0
79,1000840036,980958.0,199163.0,,,69.0,47250,1636000,1,52.0,2003,34.62,12646.9
80,1010890001,984121.0,216628.0,131.3,223.7,3.0,110080,887879,1,40.0,1999,8.07,7540.9
81,1000350001,982117.0,195693.0,78.2,208.7,71.0,42176,973587,1,36.0,1987,23.08,7311.7
82,1012860021,991198.0,215420.0,139.2,216.3,45.0,35720,815240,1,51.0,1980,22.82,10815.0
83,1013049001,,,138.3,270.4,23.0,81337,0,1,0.0,0,0.0,16329.8
84,1012770014,989957.0,213734.0,76.2,207.9,82.0,33160,733001,1,40.0,1965,22.1,5309.8
85,1013280001,993142.0,215547.0,95.6,221.4,83.0,82341,1321050,1,32.0,1967,16.04,5816.3
86,1012670001,990100.0,216338.0,101.4,234.1,70.0,89775,1899211,1,43.0,1963,21.16,16126.9
87,1008070001,986696.0,212211.0,77.7,184.6,81.0,57675,1103075,1,26.0,1926,19.13,7093.6
88,1005540001,986602.0,205453.0,66.8,178.9,86.0,62582,940000,1,15.0,1906,15.02,6200.4
89,1013120041,993136.0,216544.0,93.8,196.0,78.0,28491,570453,1,39.0,1968,20.02,4066.4
90,1012670034,990622.0,215997.0,80.3,225.8,72.0,16673,285841,1,19.0,1950,17.14,2340.0
91,1012870033,991528.0,215549.0,126.4,272.0,52.0,27925,535720,1,31.0,1961,19.18,5182.1
92,1000230050,981072.0,196715.0,103.3,239.8,79.0,19975,466820,1,27.0,1956,23.37,3788.6
93,1010070005,989674.0,217409.0,112.7,231.1,28.0,22275,625844,1,57.0,1987,28.1,4773.1
94,1013000001,990870.0,214123.0,97.3,209.9,78.0,69153,1212596,1,34.0,1929,17.53,9588.2
95,1012930026,992054.0,217022.0,76.3,182.9,,12900,332600,1,42.0,1929,25.78,2034.5
96,1010070029,989997.0,217282.0,148.2,341.6,32.0,90375,1900241,2,49.0,1968,21.03,21132.6
97,1009200012,991156.0,212140.0,89.2,196.8,78.0,48285,898734,1,43.0,1963,18.61,7232.8
98,1010220043,988488.0,216933.0,99.4,218.6,71.0,90400,2438059,1,48.0,1972,26.97,21445.4
99,1013090032,992812.0,215694.0,61.1,170.2,82.0,16905,516720,1,36.0,1983,30.57,3031.7
100,1010050001,989380.0,217036.0,134.5,262.0,23.0,60775,1172021,1,49.0,1960,19.28,11123.2
101,1012710038,991147.0,217002.0,67.3,177.4,80.0,17555,520796,1,50.0,1988,29.67,3092.2
102,1013060033,992411.0,215025.0,80.6,191.2,82.0,31632,574675,1,20.0,1960,18.17,3696.4
103,1012930069,991679.0,217350.0,82.2,218.6,74.0,21975,459340,1,35.0,1930,20.9,3520.2
104,1009980029,988998.0,215160.0,,,60.0,32134,912955,1,48.0,1988,28.41,6995.8
105,1012910028,991970.0,216489.0,79.4,215.3,76.0,26398,528562,1,37.0,1986,20.02,3981.2
106,1012810069,990117.0,214595.0,67.1,191.9,81.0,14175,206378,1,19.0,1955,14.56,1332.9
107,4041430001,1030413.0,224877.0,85.0,218.7,80.0,153993,139896,1,1.0,1998,0.91,918.4
108,3044520520,1020274.0,177201.0,107.4,223.4,77.0,158402,158402,1,1.0,2001,1.0,1104.4
109,2032450060,1009811.0,257182.0,97.6,262.2,,221516,156474,1,1.0,2003,0.71,1186.7
110,5074810001,919788.0,131969.0,83.6,211.9,79.0,527174,144760,1,1.0,2005,0.27,903.4
111,1008620029,989071.0,211186.0,73.6,188.1,77.0,40487,852731,1,28.0,1927,21.06,5434.3
112,1000240001,980923.0,196241.0,97.9,222.7,72.0,44757,974958,1,38.0,1961,21.78,7607.5
113,1013137502,992913.0,216971.0,49.1,133.7,89.0,18250,229547,1,17.0,1954,12.58,1091.8
114,1012900021,991653.0,216323.0,80.9,212.7,74.0,16972,444293,1,36.0,1981,26.18,3077.7
115,1013600001,993673.0,213442.0,90.9,197.2,79.0,88350,400369,1,6.0,1967,4.53,2587.6
116,1012900001,991201.0,216540.0,123.3,299.1,22.0,6925,85781,1,14.0,1927,12.39,884.0
117,1010060013,989596.0,217215.0,68.8,185.1,81.0,35799,753137,1,35.0,1988,21.04,4948.9
118,1013377502,992785.0,212709.0,,,40.0,17556,586305,1,39.0,1977,33.4,6292.8
119,1013370014,992673.0,212826.0,90.3,197.1,67.0,30125,600000,1,39.0,1984,19.92,3929.2
120,1012920015,991718.0,216933.0,88.3,216.5,60.0,39162,999646,1,43.0,1981,25.53,14801.3
121,1012597502,989619.0,214273.0,66.7,179.0,87.0,27025,379888,1,23.0,1919,14.06,2927.5
122,1012687501,990341.0,216503.0,89.0,251.9,75.0,45925,730175,1,29.0,1986,15.9,6007.7
123,1010050029,989783.0,216810.0,113.3,209.4,68.0,74631,1482208,1,46.0,1965,19.86,15841.8
124,1019630060,995800.0,234455.0,,,100.0,25669,130228,2,0.0,2013,5.07,435.5
125,1012890052,991589.0,216177.0,59.6,187.1,78.0,11650,197948,1,25.0,1985,16.99,1260.7
126,1007680050,984660.0,209556.0,68.9,169.5,75.0,8379,115433,1,12.0,1910,13.78,566.3
127,4004350001,999952.0,211968.0,88.6,226.8,,20100,274433,1,16.0,2005,13.65,1848.3
128,1008330011,987610.0,211711.0,97.9,205.5,80.0,30750,645977,1,39.0,1969,21.01,5281.9
129,1010210026,988707.0,216488.0,76.8,201.4,79.0,22015,561139,1,35.0,1988,25.49,3952.1
130,1013127501,992633.0,216805.0,,,,17272,453533,1,57.0,1975,26.26,
131,1013940001,992757.0,217237.0,38.9,122.3,97.0,10543,220510,1,21.0,1949,20.92,727.7
132,4051650001,1032694.0,211543.0,292.1,550.6,53.0,234336,577654,3,8.0,1957,2.47,11585.9
133,4017870020,1026548.0,214812.0,52.6,165.2,,2747985,1250000,1,6.0,2005,0.45,5397.5
134,1013747501,992380.0,217447.0,72.1,208.1,72.0,13406,303085,1,24.0,1985,22.61,1703.2
135,1010400029,987867.0,216978.0,78.2,208.1,74.0,58241,1596521,1,49.0,1987,27.41,11430.6
136,1009230001,988961.0,206837.0,244.8,531.0,23.0,22940,327933,1,17.0,1978,14.3,6348.7
137,1012710071,990491.0,217359.0,121.9,254.3,47.0,14060,311501,1,34.0,1971,22.16,2957.7
138,1012790057,990232.0,214234.0,100.3,236.4,,18800,380776,1,25.0,1922,20.25,2344.1
139,1015000001,995631.0,224547.0,97.6,300.5,37.0,24147,93924,1,10.0,1959,3.89,1004.0
140,1000747501,983038.0,196805.0,63.6,164.2,85.0,41656,744146,1,35.0,1993,17.86,5008.0
141,1010130029,987693.0,214656.0,100.5,272.3,67.0,27156,1100000,1,38.0,2000,40.51,7698.9
142,1005780047,982216.0,203357.0,90.6,220.3,91.0,21862,340618,1,14.0,1929,15.58,2276.5
143,4041250001,1031634.0,224997.0,74.1,163.3,,234000,92705,1,2.0,2004,0.4,491.9
144,1001020001,982922.0,198373.0,133.8,249.2,,108027,526781,1,18.0,1968,4.88,6048.3
145,1021360245,999680.0,245314.0,15.6,48.9,,195350,527604,3,8.0,1964,2.7,193.9
146,1005970012,982036.0,203878.0,65.0,157.3,82.0,37608,374584,1,10.0,1907,9.96,2332.4
147,1013750049,992473.0,217812.0,69.5,218.4,69.0,13155,247260,1,24.0,1985,18.8,1414.8
148,1013130005,992750.0,216975.0,138.4,287.6,42.0,26750,596734,1,36.0,1969,22.31,5161.9
149,1008410054,989047.0,213365.0,99.9,208.2,67.0,6170,115307,1,23.0,1916,18.69,1025.4
150,1001270018,981236.0,199541.0,91.5,253.7,,42601,550000,1,13.0,1987,12.91,3738.4
151,1000920005,982534.0,198011.0,69.2,175.5,,10586,177433,1,22.0,1951,16.76,1053.0
152,1012870052,991316.0,215723.0,,,76.0,12501,244668,1,24.0,1929,19.57,1661.7
